article,token,ann1,ann2,diff,final,
2016-42-3-391-419,state,B,O,T,O,
2016-42-3-391-419,-,I,O,T,O,
2016-42-3-391-419,of,I,O,T,O,
2016-42-3-391-419,-,I,O,T,O,
2016-42-3-391-419,the,I,O,T,O,
2016-42-3-391-419,-,I,O,T,O,
2016-42-3-391-419,art,I,O,T,O,
2016-42-3-391-419,baselines,B,O,T,O,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Despite,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,effectiveness,B,O,T,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,boost,O,O,F,O,
2016-42-3-391-419,accuracy,B,O,T,O,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,computationally,B,O,T,B,
2016-42-3-391-419,expensive,I,O,T,I,
2016-42-3-391-419,parsers,I,B,T,I,
2016-42-3-391-419,make,O,O,F,O,
2016-42-3-391-419,hybrid,B,O,T,O,
2016-42-3-391-419,systems,I,O,T,O,
2016-42-3-391-419,inappropriate,B,O,T,O,
2016-42-3-391-419,for,O,O,F,O,
2016-42-3-391-419,many,O,O,F,O,
2016-42-3-391-419,realistic,B,O,T,O,
2016-42-3-391-419,NLP,I,B,T,B,
2016-42-3-391-419,applications,I,O,T,O,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,In,O,O,F,O,
2016-42-3-391-419,this,O,O,F,O,
2016-42-3-391-419,article,O,O,F,O,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,we,O,O,F,O,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,also,O,O,F,O,
2016-42-3-391-419,concerned,O,O,F,O,
2016-42-3-391-419,with,O,O,F,O,
2016-42-3-391-419,improving,O,O,F,O,
2016-42-3-391-419,tagging,B,O,T,B,
2016-42-3-391-419,efficiency,I,O,T,I,
2016-42-3-391-419,at,O,O,F,O,
2016-42-3-391-419,test,B,O,T,B,
2016-42-3-391-419,time,I,O,T,I,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,In,O,O,F,O,
2016-42-3-391-419,particular,O,O,F,O,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,we,O,O,F,O,
2016-42-3-391-419,explore,O,O,F,O,
2016-42-3-391-419,unlabeled,B,B,F,B,
2016-42-3-391-419,data,I,I,F,I,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,transfer,B,O,T,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,predictive,B,O,T,O,
2016-42-3-391-419,power,I,O,T,O,
2016-42-3-391-419,of,I,O,T,O,
2016-42-3-391-419,hybrid,I,O,T,O,
2016-42-3-391-419,models,I,O,T,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,simple,B,O,T,B,
2016-42-3-391-419,sequence,I,O,T,I,
2016-42-3-391-419,models,I,O,T,I,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Specifically,O,O,F,O,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,hybrid,B,O,T,B,
2016-42-3-391-419,systems,I,O,T,I,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,utilized,O,O,F,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,create,O,O,F,O,
2016-42-3-391-419,large,B,O,T,O,
2016-42-3-391-419,-,I,O,T,O,
2016-42-3-391-419,scale,I,O,T,O,
2016-42-3-391-419,pseudo,I,O,T,O,
2016-42-3-391-419,training,I,O,T,O,
2016-42-3-391-419,data,I,O,T,O,
2016-42-3-391-419,for,O,O,F,O,
2016-42-3-391-419,cheap,B,O,T,O,
2016-42-3-391-419,models,I,O,T,O,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Experimental,O,O,F,O,
2016-42-3-391-419,results,O,O,F,O,
2016-42-3-391-419,illustrate,O,O,F,O,
2016-42-3-391-419,that,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,re,B,O,T,O,
2016-42-3-391-419,-,I,O,T,O,
2016-42-3-391-419,compiled,I,O,T,O,
2016-42-3-391-419,models,I,O,T,O,
2016-42-3-391-419,not,O,O,F,O,
2016-42-3-391-419,only,O,O,F,O,
2016-42-3-391-419,achieve,O,O,F,O,
2016-42-3-391-419,high,O,O,F,O,
2016-42-3-391-419,accuracy,O,O,F,O,
2016-42-3-391-419,with,O,O,F,O,
2016-42-3-391-419,respect,O,O,F,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,per,B,O,T,O,
2016-42-3-391-419,token,I,O,T,O,
2016-42-3-391-419,classification,I,O,T,O,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,but,O,O,F,O,
2016-42-3-391-419,also,O,O,F,O,
2016-42-3-391-419,serve,O,O,F,O,
2016-42-3-391-419,as,O,O,F,O,
2016-42-3-391-419,a,O,O,F,O,
2016-42-3-391-419,front,B,O,T,B,
2016-42-3-391-419,-,I,O,T,I,
2016-42-3-391-419,end,I,O,T,I,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,a,O,O,F,O,
2016-42-3-391-419,parser,B,O,T,O,
2016-42-3-391-419,well,O,O,F,O,
2016-42-3-391-419,.,O,O,F,O,
2016-42-4-637–660,Logical,B,B,F,B,
2016-42-4-637–660,negation,I,I,F,I,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,challenge,O,O,F,O,
2016-42-4-637–660,for,O,O,F,O,
2016-42-4-637–660,distributional,B,B,F,B,
2016-42-4-637–660,semantics,I,I,F,I,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,because,O,O,F,O,
2016-42-4-637–660,predicates,B,B,F,B,
2016-42-4-637–660,and,O,O,F,O,
2016-42-4-637–660,their,O,O,F,O,
2016-42-4-637–660,negations,B,B,F,B,
2016-42-4-637–660,tend,O,O,F,O,
2016-42-4-637–660,to,O,O,F,O,
2016-42-4-637–660,occur,O,O,F,O,
2016-42-4-637–660,in,O,O,F,O,
2016-42-4-637–660,very,O,O,F,O,
2016-42-4-637–660,similar,O,O,F,O,
2016-42-4-637–660,contexts,I,O,T,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,and,O,O,F,O,
2016-42-4-637–660,consequently,O,O,F,O,
2016-42-4-637–660,their,O,O,F,O,
2016-42-4-637–660,distributional,B,B,F,B,
2016-42-4-637–660,vectors,I,I,F,I,
2016-42-4-637–660,are,O,O,F,O,
2016-42-4-637–660,very,O,O,F,O,
2016-42-4-637–660,similar,O,O,F,O,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,Indeed,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,it,O,O,F,O,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,not,O,O,F,O,
2016-42-4-637–660,even,O,O,F,O,
2016-42-4-637–660,clear,O,O,F,O,
2016-42-4-637–660,what,O,O,F,O,
2016-42-4-637–660,properties,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,“,B,O,T,B,
2016-42-4-637–660,negated,I,O,T,I,
2016-42-4-637–660,”,I,O,T,I,
2016-42-4-637–660,distributional,I,B,T,I,
2016-42-4-637–660,vector,I,I,F,I,
2016-42-4-637–660,should,O,O,F,O,
2016-42-4-637–660,possess,O,O,F,O,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,However,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,when,O,O,F,O,
2016-42-4-637–660,linguistic,B,B,F,B,
2016-42-4-637–660,negation,I,I,F,I,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,considered,O,O,F,O,
2016-42-4-637–660,in,O,O,F,O,
2016-42-4-637–660,its,O,O,F,O,
2016-42-4-637–660,actual,O,O,F,O,
2016-42-4-637–660,discourse,B,O,T,B,
2016-42-4-637–660,usage,I,O,T,I,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,it,O,O,F,O,
2016-42-4-637–660,often,O,O,F,O,
2016-42-4-637–660,performs,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,role,O,O,F,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,quite,O,O,F,O,
2016-42-4-637–660,different,O,O,F,O,
2016-42-4-637–660,from,O,O,F,O,
2016-42-4-637–660,straightforward,B,O,T,O,
2016-42-4-637–660,logical,I,B,T,B,
2016-42-4-637–660,negation,I,I,F,I,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,If,O,O,F,O,
2016-42-4-637–660,someone,O,O,F,O,
2016-42-4-637–660,states,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,in,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,middle,O,O,F,O,
2016-42-4-637–660,of,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,conversation,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,“,O,O,F,O,
2016-42-4-637–660,This,O,O,F,O,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,not,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,dog,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,”,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,negation,B,B,F,B,
2016-42-4-637–660,strongly,O,O,F,O,
2016-42-4-637–660,suggests,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,restricted,B,O,T,O,
2016-42-4-637–660,set,I,O,T,O,
2016-42-4-637–660,of,I,O,T,O,
2016-42-4-637–660,alternative,I,O,T,O,
2016-42-4-637–660,predicates,I,O,T,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,might,O,O,F,O,
2016-42-4-637–660,hold,O,O,F,O,
2016-42-4-637–660,true,O,O,F,O,
2016-42-4-637–660,of,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,object,B,O,T,O,
2016-42-4-637–660,being,O,O,F,O,
2016-42-4-637–660,talked,O,O,F,O,
2016-42-4-637–660,about,O,O,F,O,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,In,O,O,F,O,
2016-42-4-637–660,particular,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,other,O,O,F,O,
2016-42-4-637–660,canids,O,O,F,O,
2016-42-4-637–660,and,O,O,F,O,
2016-42-4-637–660,middle,O,O,F,O,
2016-42-4-637–660,-,O,O,F,O,
2016-42-4-637–660,sized,O,O,F,O,
2016-42-4-637–660,mammals,O,O,F,O,
2016-42-4-637–660,are,O,O,F,O,
2016-42-4-637–660,plausible,O,O,F,O,
2016-42-4-637–660,alternatives,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,birds,O,O,F,O,
2016-42-4-637–660,are,O,O,F,O,
2016-42-4-637–660,less,O,O,F,O,
2016-42-4-637–660,likely,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,skyscrapers,O,O,F,O,
2016-42-4-637–660,and,O,O,F,O,
2016-42-4-637–660,other,O,O,F,O,
2016-42-4-637–660,large,O,O,F,O,
2016-42-4-637–660,buildings,O,O,F,O,
2016-42-4-637–660,virtually,O,O,F,O,
2016-42-4-637–660,impossible,O,O,F,O,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,Conversational,B,B,F,B,
2016-42-4-637–660,negation,I,I,F,I,
2016-42-4-637–660,acts,O,O,F,O,
2016-42-4-637–660,like,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,graded,B,O,T,B,
2016-42-4-637–660,similarity,I,O,T,I,
2016-42-4-637–660,function,I,O,T,I,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,of,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,sort,O,O,F,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,distributional,B,B,F,B,
2016-42-4-637–660,semantics,I,I,F,I,
2016-42-4-637–660,might,O,O,F,O,
2016-42-4-637–660,be,O,O,F,O,
2016-42-4-637–660,good,O,O,F,O,
2016-42-4-637–660,at,O,O,F,O,
2016-42-4-637–660,capturing,O,O,F,O,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,In,O,O,F,O,
2016-42-4-637–660,this,O,O,F,O,
2016-42-4-637–660,article,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,we,O,O,F,O,
2016-42-4-637–660,introduce,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,large,O,O,F,O,
2016-42-4-637–660,data,O,O,F,O,
2016-42-4-637–660,set,O,O,F,O,
2016-42-4-637–660,of,O,O,F,O,
2016-42-4-637–660,alternative,O,O,F,O,
2016-42-4-637–660,plausibility,B,O,T,B,
2016-42-4-637–660,ratings,I,O,T,I,
2016-42-4-637–660,for,O,O,F,O,
2016-42-4-637–660,conversationally,B,B,F,B,
2016-42-4-637–660,negated,I,I,F,I,
2016-42-4-637–660,nominal,I,I,F,I,
2016-42-4-637–660,predicates,I,I,F,I,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,and,O,O,F,O,
2016-42-4-637–660,we,O,O,F,O,
2016-42-4-637–660,show,O,O,F,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,simple,O,O,F,O,
2016-42-4-637–660,similarity,B,O,T,O,
2016-42-4-637–660,in,I,O,T,O,
2016-42-4-637–660,distributional,I,B,T,B,
2016-42-4-637–660,semantic,I,I,F,I,
2016-42-4-637–660,space,I,O,T,I,
2016-42-4-637–660,provides,O,O,F,O,
2016-42-4-637–660,an,O,O,F,O,
2016-42-4-637–660,excellent,O,O,F,O,
2016-42-4-637–660,fit,B,O,T,O,
2016-42-4-637–660,to,O,O,F,O,
2016-42-4-637–660,subject,B,O,T,B,
2016-42-4-637–660,data,I,O,T,I,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,On,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,one,O,O,F,O,
2016-42-4-637–660,hand,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,this,O,O,F,O,
2016-42-4-637–660,fills,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,gap,O,O,F,O,
2016-42-4-637–660,in,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,literature,O,O,F,O,
2016-42-4-637–660,on,O,O,F,O,
2016-42-4-637–660,conversational,B,B,F,B,
2016-42-4-637–660,negation,I,I,F,I,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,proposing,O,O,F,O,
2016-42-4-637–660,distributional,B,B,F,B,
2016-42-4-637–660,semantics,I,I,F,I,
2016-42-4-637–660,as,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,right,O,O,F,O,
2016-42-4-637–660,tool,O,O,F,O,
2016-42-4-637–660,to,O,O,F,O,
2016-42-4-637–660,make,O,O,F,O,
2016-42-4-637–660,explicit,B,O,T,B,
2016-42-4-637–660,predictions,I,O,T,I,
2016-42-4-637–660,about,O,O,F,O,
2016-42-4-637–660,potential,O,O,F,O,
2016-42-4-637–660,alternatives,O,O,F,O,
2016-42-4-637–660,of,O,O,F,O,
2016-42-4-637–660,negated,B,B,F,B,
2016-42-4-637–660,predicates,I,I,F,I,
2016-42-4-637–660,.,O,O,F,O,
2016-42-4-637–660,On,O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,other,O,O,F,O,
2016-42-4-637–660,hand,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,the,O,O,F,O,
2016-42-4-637–660,results,O,O,F,O,
2016-42-4-637–660,suggest,O,O,F,O,
2016-42-4-637–660,that,O,O,F,O,
2016-42-4-637–660,negation,B,B,F,B,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,when,O,O,F,O,
2016-42-4-637–660,addressed,O,O,F,O,
2016-42-4-637–660,from,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,broader,O,O,F,O,
2016-42-4-637–660,pragmatic,B,O,T,O,
2016-42-4-637–660,perspective,I,O,T,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,far,O,O,F,O,
2016-42-4-637–660,from,O,O,F,O,
2016-42-4-637–660,being,O,O,F,O,
2016-42-4-637–660,a,O,O,F,O,
2016-42-4-637–660,nuisance,O,O,F,O,
2016-42-4-637–660,",",O,O,F,O,
2016-42-4-637–660,is,O,O,F,O,
2016-42-4-637–660,an,O,O,F,O,
2016-42-4-637–660,ideal,O,O,F,O,
2016-42-4-637–660,application,B,O,T,O,
2016-42-4-637–660,domain,I,O,T,O,
2016-42-4-637–660,for,O,O,F,O,
2016-42-4-637–660,distributional,B,B,F,B,
2016-42-4-637–660,semantic,I,I,F,I,
2016-42-4-637–660,methods,I,O,T,I,
2016-42-4-637–660,.,O,O,F,O,
2016-42-2-307-343,Microblogs,B,B,F,B,
2016-42-2-307-343,such,O,O,F,O,
2016-42-2-307-343,as,O,O,F,O,
2016-42-2-307-343,Twitter,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,Facebook,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,Sina,O,O,F,O,
2016-42-2-307-343,Weibo,O,O,F,O,
2016-42-2-307-343,(,O,O,F,O,
2016-42-2-307-343,China,O,O,F,O,
2016-42-2-307-343,'s,O,O,F,O,
2016-42-2-307-343,equivalent,O,O,F,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,Twitter,O,O,F,O,
2016-42-2-307-343,),O,O,F,O,
2016-42-2-307-343,are,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,remarkable,O,O,F,O,
2016-42-2-307-343,linguistic,B,B,F,B,
2016-42-2-307-343,resource,I,O,T,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,In,O,O,F,O,
2016-42-2-307-343,contrast,O,O,F,O,
2016-42-2-307-343,to,O,O,F,O,
2016-42-2-307-343,content,O,O,F,O,
2016-42-2-307-343,from,O,O,F,O,
2016-42-2-307-343,edited,O,O,F,O,
2016-42-2-307-343,genres,O,O,F,O,
2016-42-2-307-343,such,O,O,F,O,
2016-42-2-307-343,as,O,O,F,O,
2016-42-2-307-343,newswire,B,O,T,B,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,microblogs,B,B,F,B,
2016-42-2-307-343,contain,O,O,F,O,
2016-42-2-307-343,discussions,O,O,F,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,virtually,O,O,F,O,
2016-42-2-307-343,every,O,O,F,O,
2016-42-2-307-343,topic,O,O,F,O,
2016-42-2-307-343,by,O,O,F,O,
2016-42-2-307-343,numerous,O,O,F,O,
2016-42-2-307-343,individuals,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,different,O,O,F,O,
2016-42-2-307-343,languages,O,O,F,O,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,dialects,B,B,F,B,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,different,O,O,F,O,
2016-42-2-307-343,styles,O,O,F,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,In,O,O,F,O,
2016-42-2-307-343,this,O,O,F,O,
2016-42-2-307-343,work,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,we,O,O,F,O,
2016-42-2-307-343,show,O,O,F,O,
2016-42-2-307-343,that,O,O,F,O,
2016-42-2-307-343,some,O,O,F,O,
2016-42-2-307-343,microblog,B,B,F,B,
2016-42-2-307-343,users,O,O,F,O,
2016-42-2-307-343,post,O,O,F,O,
2016-42-2-307-343,“,B,O,T,B,
2016-42-2-307-343,self,I,O,T,I,
2016-42-2-307-343,-,I,O,T,I,
2016-42-2-307-343,translated,I,O,T,I,
2016-42-2-307-343,”,I,O,T,I,
2016-42-2-307-343,messages,O,O,F,O,
2016-42-2-307-343,targeting,O,O,F,O,
2016-42-2-307-343,audiences,O,O,F,O,
2016-42-2-307-343,who,O,O,F,O,
2016-42-2-307-343,speak,O,O,F,O,
2016-42-2-307-343,different,O,O,F,O,
2016-42-2-307-343,languages,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,either,O,O,F,O,
2016-42-2-307-343,by,O,O,F,O,
2016-42-2-307-343,writing,O,O,F,O,
2016-42-2-307-343,the,O,O,F,O,
2016-42-2-307-343,same,O,O,F,O,
2016-42-2-307-343,message,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,multiple,O,O,F,O,
2016-42-2-307-343,languages,O,O,F,O,
2016-42-2-307-343,or,O,O,F,O,
2016-42-2-307-343,by,O,O,F,O,
2016-42-2-307-343,retweeting,B,O,T,O,
2016-42-2-307-343,translations,O,B,T,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,their,O,O,F,O,
2016-42-2-307-343,original,O,O,F,O,
2016-42-2-307-343,posts,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,second,O,O,F,O,
2016-42-2-307-343,language,O,O,F,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,We,O,O,F,O,
2016-42-2-307-343,introduce,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,method,O,O,F,O,
2016-42-2-307-343,for,O,O,F,O,
2016-42-2-307-343,finding,O,O,F,O,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,extracting,B,O,T,O,
2016-42-2-307-343,this,O,O,F,O,
2016-42-2-307-343,naturally,B,O,T,B,
2016-42-2-307-343,occurring,I,O,T,I,
2016-42-2-307-343,parallel,I,B,T,I,
